LAMBDA,FLUX,FERROR
8005.615,3.903923111001503e-18,5.5740799375445525e-18
8006.9434,1.5487180173985884e-18,5.161260240334479e-18
8007.3647,-1.220122048866683e-18,6.849300183855136e-18
8007.4969999999985,-4.009543851988297e-18,7.672005061210138e-18
8030.8623,5.067295005797665e-18,4.883638274858936e-18
8031.568,9.332799822262602e-18,7.314408905914272e-18
8031.8174,1.6302379920384618e-17,6.4211517679921564e-18
8032.939,-1.4967663287330393e-18,5.3827722729946156e-18
8055.0063,5.748087415948541e-18,7.422392320302061e-18
8055.5537,7.48875192391651e-19,5.130030581293724e-18
8056.0186,-6.947791305211448e-18,7.194794527743764e-18
8056.2840000000015,4.229283894761732e-18,4.633011871143195e-18
8080.2505,-1.4324409865357446e-18,4.373292659128364e-18
8080.469,-1.3277105758255106e-17,6.886399822241593e-18
8080.9346,5.58329517598554e-18,5.029981954459491e-18
8081.9023,4.5365421282945105e-18,5.8306853550268894e-18
8104.389,8.642626894580134e-19,4.220291966976265e-18
8104.92,-1.4509809082219427e-18,6.762806194343139e-18
8104.924,5.235540027846332e-18,5.610785823151971e-18
8104.953,1.274475173869862e-17,4.90074675521608e-18
8129.371,1.8121445584713013e-17,6.7875776985979726e-18
8129.4023,1.5493776049791498e-17,4.831165919113522e-18
8129.4233,1.9832333784894858e-19,4.107034012507131e-18
8129.9917,8.593113438239551e-18,5.3199466100520344e-18
8153.4873,-6.30169892645305e-18,8.84521186201944e-18
8153.5923,-1.5270869257153432e-18,3.865953636574829e-18
8153.852,8.50081073374934e-18,4.681808102964402e-18
8154.083,-7.64151134639624e-18,5.042325170961828e-18
8178.04,2.6080371097406773e-18,3.702953111186218e-18
8178.3013,6.414074219681492e-18,4.563843570238921e-18
8178.5356,1.3807629339539763e-18,4.878620595102963e-18
8179.385,-4.594893810108871e-18,6.333020282417793e-18
8202.487,2.9262678935224175e-18,3.573985485053003e-18
8202.61,-9.417694616825822e-18,6.852557375841454e-18
8202.751,4.946003921287735e-18,4.435266162627936e-18
