LAMBDA,FLUX,FERROR,MASKGOOD
8005.615,3.903923111001503e-18,5.5740799375445525e-18,False
8006.9434,1.5487180173985884e-18,5.161260240334479e-18,False
8007.3647,-1.2201220488666829e-18,6.849300183855136e-18,False
8007.496999999998,-4.0095438519882965e-18,7.672005061210138e-18,False
8030.8623,5.067295005797665e-18,4.883638274858936e-18,True
8031.568,9.332799822262602e-18,7.314408905914272e-18,True
8031.8174,1.6302379920384618e-17,6.421151767992156e-18,True
8032.939,-1.4967663287330389e-18,5.382772272994616e-18,False
8055.0063,5.748087415948541e-18,7.422392320302061e-18,False
8055.5537,7.488751923916509e-19,5.1300305812937235e-18,False
8056.0186,-6.947791305211447e-18,7.194794527743764e-18,False
8056.284000000002,4.229283894761732e-18,4.6330118711431944e-18,False
8080.2505,-1.4324409865357446e-18,4.3732926591283634e-18,False
8080.469,-1.3277105758255104e-17,6.8863998222415925e-18,True
8080.9346,5.58329517598554e-18,5.029981954459491e-18,True
8081.9023,4.536542128294511e-18,5.8306853550268894e-18,False
8104.389,8.6426268945801335e-19,4.220291966976265e-18,False
8104.92,-1.4509809082219427e-18,6.762806194343139e-18,False
8104.924,5.235540027846332e-18,5.610785823151971e-18,False
8104.953,1.2744751738698619e-17,4.9007467552160796e-18,True
8129.371,1.8121445584713013e-17,6.787577698597972e-18,True
8129.4023,1.5493776049791498e-17,4.831165919113521e-18,True
8129.4233,1.9832333784894853e-19,4.107034012507131e-18,False
8129.9917,8.593113438239551e-18,5.319946610052034e-18,True
8153.4873,-6.301698926453049e-18,8.84521186201944e-18,False
8153.5923,-1.527086925715343e-18,3.865953636574829e-18,False
8153.852,8.50081073374934e-18,4.681808102964402e-18,True
8154.0830000000005,-7.641511346396239e-18,5.042325170961828e-18,True
8178.04,2.608037109740677e-18,3.7029531111862176e-18,False
8178.3013,6.414074219681492e-18,4.563843570238921e-18,True
8178.5356,1.3807629339539763e-18,4.8786205951029626e-18,False
8179.385,-4.594893810108871e-18,6.333020282417792e-18,False
8202.487,2.9262678935224175e-18,3.573985485053003e-18,False
8202.61,-9.417694616825822e-18,6.852557375841453e-18,True
8202.751,4.946003921287735e-18,4.435266162627936e-18,True
8202.989,-7.532185231242552e-18,4.599016680731171e-18,True
8226.935,-1.943184873951125e-18,3.4212509816669666e-18,False
8227.2,2.3760902803037398e-18,4.3318940222956835e-18,False
8227.440999999999,-1.4559603874739943e-18,4.418824220103004e-18,False
8227.571,1.0655307500179408e-18,5.9319690514463946e-18,False
8251.14,4.482804601124885e-18,4.163334985625282e-18,True
8251.382,1.7308466155449283e-18,3.2223602876869912e-18,False
8251.625,-2.184652775568428e-18,5.7381730810153156e-18,False
8251.8955,3.2281748204855553e-19,4.2498189053223165e-18,False
8275.829,6.943886927276166e-18,3.0637306956156485e-18,True
8276.075,-1.1034026892368429e-18,5.479935751200933e-18,False
8276.348,2.228904995617006e-18,3.995457252327842e-18,False
8276.561,4.6618576365916684e-18,4.009743872366634e-18,True
8300.276,5.37859470948967e-18,3.0954014692479838e-18,True
8300.526,1.1361189814834543e-18,5.314968048374927e-18,False
8300.548,3.553491066233602e-19,3.8948948534401595e-18,False
8300.801,8.107791207578317e-18,3.832588674682396e-18,True
8324.724,4.0956216173918746e-18,3.257461413277314e-18,True
8324.976999999999,6.161271676354478e-18,5.194038205553264e-18,True
8324.997,7.280794210069706e-19,3.825095837135428e-18,False
8325.254,1.1356089038855231e-17,3.6985473170079034e-18,True
